map_24hmoney,category_code,vi_caption,en_caption,report_type
Lãi/lỗ trước những thay đổi vốn lưu động,CF_008, Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Profit from Business Activities before Changes in Working Capital,cash_flow_statement
(Tăng)/giảm chứng khoán kinh doanh,CF_013,"Tăng, giảm chứng khoán kinh doanh",Increase/Decrease in Trading Securities,cash_flow_statement
Tăng/giảm các khoản phải thu,CF_009,"Tăng, giảm các khoản phải thu",Increase/Decrease in Receivables,cash_flow_statement
Tăng/giảm hàng tồn kho,CF_010,"Tăng, giảm hàng tồn kho",Increase/Decrease in Inventories,cash_flow_statement
Tăng/giảm các khoản phải trả,CF_011,"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",Increase/Decrease in Payables (Excluding Interest Payable and Corporate Income Tax Payable),cash_flow_statement
Tăng/giảm chi phí trả trước,CF_012,"Tăng, giảm chi phí trả trước",Increase/Decrease in Prepaid Expenses,cash_flow_statement
Chi phí lãi vay đã trả,CF_014,Tiền lãi vay đã trả,Interest Paid,cash_flow_statement
Thuế thu nhập doanh nghiệp đã trả,CF_015,Thuế thu nhập doanh nghiệp đã nộp,Corporate Income Tax Paid,cash_flow_statement
Tiền thu khác từ các hoạt động kinh doanh,CF_016,Tiền thu khác từ hoạt động kinh doanh,Other Cash Inflows from Business Activities,cash_flow_statement
Tiền chi khác từ các hoạt động kinh doanh,CF_017,Tiền chi khác cho hoạt động kinh doanh,Other Cash Outflows for Business Activities,cash_flow_statement
LƯU CHUYỂN TIỀN TỆ RÒNG TỪ CÁC HOẠT ĐỘNG SẢN XUẤT KINH DOANH,CF_020,Lưu chuyển tiền thuần từ hoạt động kinh doanh,Net Cash Flow from Operating Activities,cash_flow_statement
Tiền mua tài sản cố định và các tài sản dài hạn khác,CF_021,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác","Cash Paid for Purchase, Construction of Fixed Assets and Other Long-term Assets",cash_flow_statement
Tiền thu được từ thanh lý tài sản cố định,CF_022,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",Cash Received from Disposal of Fixed Assets and Other Long-term Assets,cash_flow_statement
Tiền cho vay hoặc mua công cụ nợ,CF_023,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Cash Paid for Lending, Purchase of Debt Instruments of Other Entities",cash_flow_statement
Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,CF_024,".Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Cash Received from Loan Recovery, Resale of Debt Instruments of Other Entities",cash_flow_statement
Đầu tư vào các doanh nghiệp khác,CF_025,Tiền chi đầu tư góp vốn vào đơn vị khác,Cash Paid for Equity Investments in Other Entities,cash_flow_statement
Tiền thu từ việc bán các khoản đầu tư vào các doanh nghiệp khác,CF_026,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Cash Recovered from Equity Investments in Other Entities,cash_flow_statement
Cổ tức và tiền lãi nhận được,CF_027,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Interest, Dividends, and Profit Received from Investments",cash_flow_statement
LƯU CHUYỂN TIỀN TỆ RÒNG TỪ HOẠT ĐỘNG ĐẦU TƯ,CF_030,Lưu chuyển tiền thuần từ hoạt động đầu tư,Net Cash Flow from Investing Activities,cash_flow_statement
Tiền thu từ phát hành cổ phiếu và vốn góp,CF_031,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Cash Received from Issuance of Shares, Capital Contributions from Owners",cash_flow_statement
"Chi trả cho việc mua lại, trả lại cổ phiếu",CF_032,"Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","Cash Paid to Return Capital Contributions to Owners, Repurchase of Issued Shares",cash_flow_statement
Tiền thu được các khoản đi vay,CF_033,Tiền thu từ đi vay,Cash Received from Borrowings,cash_flow_statement
Tiển trả các khoản đi vay,CF_034,Tiền chi trả nợ gốc vay,Cash Paid for Repayment of Principal Borrowings,cash_flow_statement
Tiền thanh toán vốn gốc đi thuê tài chính,CF_035,Tiền chi trả nợ gốc thuê tài chính,Cash Paid for Repayment of Principal Finance Leases,cash_flow_statement
Cổ tức đã trả,CF_036,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",Dividends and Profits Paid to Owners,cash_flow_statement
Tiền lãi đã nhận,CF_037,Tiền thu từ vốn góp của cổ đông không kiểm soát,Cash Received from Non-controlling Shareholders' Contributions,cash_flow_statement
LƯU CHUYỂN TIỀN TỆ RÒNG TỪ HOẠT ĐỘNG TÀI CHÍNH,CF_040,Lưu chuyển tiền thuần từ hoạt động tài chính,Net Cash Flow from Financing Activities,cash_flow_statement
Lưu chuyển tiền thuần trong kỳ,CF_050,Lưu chuyển tiền thuần trong kỳ,Net Cash Flow for the Period,cash_flow_statement
TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN ĐẦU KỲ,CF_060,Tiền và tương đương tiền đầu kỳ,Cash and Cash Equivalents at the Beginning of the Period,cash_flow_statement
Ảnh hưởng của chênh lệch tỷ giá,CF_061,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Impact of Exchange Rate Changes on Foreign Currency Translation,cash_flow_statement
TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI KỲ,CF_070,Tiền và tương đương tiền cuối kỳ,Cash and Cash Equivalents at the End of the Period,cash_flow_statement
