category_code,vi_caption,en_caption,report_type
BS_316,4. Trái phiếu phát hành ngắn hạn,4. Short-term issued bonds,balance_sheet
BS_317,5. Vay Quỹ Hỗ trợ thanh toán,5. Borrowings from the Clearing Support Fund,balance_sheet
BS_318,6. Phải trả hoạt động giao dịch chứng khoán,6. Payables from securities transactions,balance_sheet
BS_319,7. Phải trả về lỗi giao dịch các tài sản tài chính,7. Payables from errors in financial asset transactions,balance_sheet
BS_320,8. Phải trả người bán ngắn hạn,8. Payables to short-term suppliers,balance_sheet
BS_321,9. Người mua trả tiền trước,9. Advances from customers,balance_sheet
BS_322,10. Thuế và các khoản phải nộp nhà nước,10. Taxes and amounts payable to the government,balance_sheet
BS_323,11. Phải trả người lao động,11. Payables to employees,balance_sheet
BS_324,12. Các khoản trích nộp phúc lợi nhân viên,12. Employee welfare fund contributions,balance_sheet
BS_325,13. Chi phí phải trả ngắn hạn,13. Short-term accrued expenses,balance_sheet
BS_326,14. Phải trả nội bộ ngắn hạn,14. Internal payables - short term,balance_sheet
BS_327,15. Doanh thu chưa thực hiện ngắn hạn,15. Short-term deferred revenue,balance_sheet
BS_328,"16. Nhận ký quỹ, ký cược ngắn hạn",16. Short-term deposits and collateral received,balance_sheet
BS_329,"17.Các khoản phải trả, phải nộp khác ngắn hạn",17. Other short-term payables and liabilities,balance_sheet
BS_330,18. Dự phòng phải trả ngắn hạn,18. Short-term provisions,balance_sheet
BS_331,12. Quỹ khen thưởng phúc lợi,19. Employee welfare fund,balance_sheet
BS_340,II. Nợ phải trả dài hạn,II. Long-term Liabilities,balance_sheet
BS_346,4. Trái phiếu phát hành dài hạn,4. Long-term issued bonds,balance_sheet
BS_347,5. Phải trả người bán dài hạn,5. Long-term payables to suppliers,balance_sheet
BS_348,6. Người mua trả tiền trước dài hạn,6. Advances from long-term customers,balance_sheet
BS_349,7. Chi phí phải trả dài hạn,7. Long-term accrued expenses,balance_sheet
BS_350,8. Phải trả nội bộ dài hạn,8. Internal payables - long term,balance_sheet
BS_351,9. Doanh thu chưa thực hiện dài hạn,9. Long-term deferred revenue,balance_sheet
BS_352,"10. Nhận ký quỹ, ký cược dài hạn",10. Long-term deposits and collateral received,balance_sheet
BS_353,"11. Các khoản phải trả, phải nộp khác dài hạn",11. Other long-term payables and liabilities,balance_sheet
BS_354,12. Dự phòng phải trả dài hạn,12. Long-term provisions,balance_sheet
BS_355,13. Dự phòng bồi thường thiệt hại cho nhà đầu tư,13. Provision for compensation to investors,balance_sheet
BS_356,14. Thuế thu nhập hoãn lại phải trả,14. Deferred tax liabilities,balance_sheet
BS_357,15. Quỹ phát triển khoa học và công nghệ,15. Science and technology development fund,balance_sheet
BS_400,D. VỐN CHỦ SỞ HỮU,D. OWNER'S EQUITY,balance_sheet
BS_410,I. Vốn chủ sở hữu,I. Owner's Equity,balance_sheet
BS_411,1. Vốn đầu tư của chủ sở hữu,1. Owner's capital,balance_sheet
BS_411.1,1.1. Vốn góp của chủ sở hữu,1.1. Contributed capital from owners,balance_sheet
BS_411.2,1.2. Thặng dư vốn cổ phần,1.2. Share premium,balance_sheet
BS_411.3,1.3. Quyền chọn chuyển đổi trái phiếu,1.3. Convertible bond options,balance_sheet
BS_411.4,1.4. Vốn khác của chủ sở hữu,1.4. Other owner's capital,balance_sheet
BS_411.5,1.5. Cổ phiếu quỹ,1.5. Treasury shares,balance_sheet
BS_412,2. Chênh lệch đánh giá tài sản theo giá trị hợp lý,2. Revaluation differences on assets at fair value,balance_sheet
BS_413,3. Chênh lệch tỷ giá hối đoái,3. Foreign exchange differences,balance_sheet
BS_414,4. Quỹ dự trữ điều lệ,4. Statutory reserves,balance_sheet
BS_415,5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp,5. Financial reserves and professional risk reserves,balance_sheet
BS_416,6. Các Quỹ khác thuộc vốn chủ sở hữu,6. Other reserves in owner's equity,balance_sheet
BS_417,7. Lợi nhuận chưa phân phối,7. Undistributed profits,balance_sheet
BS_417.1,7.1. Lợi nhuận đã thực hiện,7.1. Realized profits,balance_sheet
BS_417.2,7.2. Lợi nhuận chưa thực hiện,7.2. Unrealized profits,balance_sheet
BS_418,8. Lợi ích của cổ đông không nắm quyền kiểm soát,8. Non-controlling interests,balance_sheet
BS_440,TỔNG CỘNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TOTAL LIABILITIES AND OWNER'S EQUITY,balance_sheet
