Corp,corp_code,Securities,sec_code,Bank,bank_code,en_caption,category_code,parent_code
,,"2. Office supplies, tools, and instruments",BS_132,,,"(Balance sheet) (Securities) Office supplies, tools, and instruments",BS_172,BS_172
,,4. Short-term deposits and collateral,BS_134,,,(Balance sheet) Short-term deposits and collateral,BS_173,BS_173
Short-term prepaid expenses,BS_151,3. Short-term prepaid expenses,BS_133,,,(Balance sheet) Short-term prepaid expenses,BS_174,BS_174
Deductible VAT,BS_152,5. Deductible value-added tax (VAT),BS_135,,,(Balance sheet) Deductible VAT,BS_175,BS_175
Taxes and other receivables from the State,BS_153,6. Taxes and other receivables from the government,BS_136,,,(Balance sheet) Taxes and other receivables from the State,BS_176,BS_176
Government bond repurchase transactions,BS_154,Government bond repurchase transactions,BS_138,,,(Balance sheet) Government bond repurchase transactions,BS_177,BS_177
Other current assets,BS_155,7. Other current assets,BS_137,,,(Balance sheet) Other current assets,BS_178,BS_178
,,8. Provision for other current asset,BS_139,,,(Balance sheet) (Securities) Provision for other current asset,BS_179,BS_179
B. NON-CURRENT ASSETS,BS_200,B. NON-CURRENT ASSETS,BS_200,,,(Balance sheet) B. NON-CURRENT ASSETS,BS_200,BS_200
I. Long-term receivables,BS_210,I. Long-term Financial Assets,BS_210,,,(Balance sheet) I. Long-term receivables,BS_210,BS_210
Long-term trade receivables,BS_211,1. Long-term receivables,BS_211,,,(Balance sheet) Long-term trade receivables,BS_211,BS_210
Long-term prepayments to suppliers,BS_212,,,,,(Balance sheet) Long-term prepayments to suppliers,BS_212,BS_210
Business capital at subsidiaries,BS_213,,,,,(Balance sheet) Business capital at subsidiaries,BS_213,BS_210
Long-term intra-group receivables,BS_214,,,,,(Balance sheet) Long-term internal receivables,BS_214,BS_210
Long-term loan receivables,BS_215,,,,,(Balance sheet) Long-term loan receivables,BS_215,BS_210
Other long-term receivables,BS_216,,,,,(Balance sheet) Other long-term receivables,BS_216,BS_210
Provision for doubtful long-term receivables,BS_219,,,,,(Balance sheet) Provision for doubtful long-term receivables,BS_217,BS_210
II. Fixed assets,BS_220,II. Fixed Assets,BS_220,Fixed assets,BS_220,(Balance sheet) Fixed assets,BS_220,BS_220
Tangible fixed assets,BS_221,1. Tangible fixed assets,BS_221,Tangible fixed assets,BS_221,(Balance sheet) Tangible fixed assets,BS_221,BS_221
Historical cost,BS_222,Original cost,BS_222,Original cost of fixed assets,BS_222,(Balance sheet) (Tangible fixed assets) Historical cost,BS_222,BS_221
Accumulated depreciation,BS_223,Accumulated depreciation,BS_223a,Depreciation of fixed assets,BS_223,(Balance sheet) (Tangible fixed assets) Accumulated depreciation,BS_223,BS_221
Finance-leased fixed assets,BS_224,,BS_224,Finance lease fixed assets,BS_224,(Balance sheet) Finance-leased fixed assets,BS_224,BS_224
Historical cost,BS_225,,BS_225,Original cost of finance lease fixed assets,BS_225,(Balance sheet) (Finance-leased fixed assets) Historical cost,BS_225,BS_224
Accumulated depreciation,BS_226,,BS_226,Depreciation of finance lease fixed assets,BS_226,(Balance sheet) (Finance-leased fixed assets) Accumulated depreciation,BS_226,BS_224
Intangible fixed assets,BS_227,3. Intangible fixed assets,BS_227,Intangible fixed assets,BS_227,(Balance sheet) Intangible fixed assets,BS_227,BS_227
Historical cost,BS_228,Original cost,BS_228,Original cost of intangible fixed assets,BS_228,(Balance sheet) (Intangible fixed assets) Historical cost,BS_228,BS_227
Accumulated depreciation,BS_229,Accumulated depreciation,BS_229a,Depreciation of intangible fixed assets,BS_229,(Balance sheet) (Intangible fixed assets) Accumulated depreciation,BS_229,BS_227
III. Investment properties,BS_230,III. Investment Properties,BS_230,Investment properties,BS_240,(Balance sheet) Investment properties,BS_230,BS_230
Historical cost,BS_231,Original cost,BS_231,Original cost of investment properties,BS_241,(Balance sheet) (Investment properties) Historical cost,BS_231,BS_230
Accumulated depreciation,BS_232,Accumulated depreciation,BS_232,Depreciation of investment properties,BS_242,(Balance sheet) (Investment properties) Accumulated depreciation,BS_232,BS_230
IV. Long-term work in progress,BS_240,,,,,(Balance sheet) Long-term work in progress,BS_240,BS_240
Long-term unfinished production and business costs,BS_241,,,,,(Balance sheet) Long-term unfinished production and business costs,BS_241,BS_240
Long-term construction in progress,BS_242,IV. Construction in Progress,BS_240,,,(Balance sheet) Long-term construction in progress,BS_242,BS_240
V. Long-term financial investments,BS_250,2. Investments,BS_212,Long-term capital investments,BS_210,(Balance sheet) Long-term financial investments,BS_250,BS_250
Investment in subsidiaries,BS_251,2.2. Investments in subsidiaries,BS_212.2,Investments in subsidiaries,BS_211,(Balance sheet) (Long-term) Investment in subsidiaries,BS_251,BS_250
Investment in associates and joint ventures,BS_252,2.3. Investments in joint ventures and associates,BS_212.3,Investment in associates and joint ventures,BS_211.1,(Balance sheet) (Long-term) Investment in associates and joint ventures,BS_252,BS_250
,,,,Joint venture capital,BS_212,(Balance sheet) (Bank) Joint venture capital,BS_252.1,BS_250
,,,,Investments in associated companies,BS_213,(Balance sheet) (Bank) Investments in associated companies,BS_252.2,BS_250
Investment in other entities,BS_253,2.4. Other long-term investments,BS_212.4,Other long-term investments,BS_214,(Balance sheet) Other long-term investments,BS_253,BS_250
Provision for long-term financial investments,BS_254,,,Provision for devaluation of long-term investments,BS_219,(Balance sheet) Provision for long-term financial investments,BS_254,BS_250
Held-to-maturity investments,BS_255,2.1. Held-to-maturity investments (HTM),BS_212.1,,,(Balance sheet) (Long-term) Held-to-maturity investment (HTM),BS_255,BS_250
VI. Other non-current assets,BS_260,V. Other Long-term Assets,BS_250,Other assets,BS_250,(Balance sheet) Other non-current assets,BS_260,BS_260
,,,,Receivables,BS_251,(Balance sheet) (Bank) Other Receivables,BS_261,BS_260
,,,,Interest and fees receivable,BS_252,(Balance sheet) (Bank) Interest and fees receivable,BS_262,BS_260
,,1. Long-term deposits and collateral,BS_251,,,(Balance sheet) (Securities) Long-term deposits and collateral,BS_263,BS_260
Long-term prepaid expenses,BS_261,2. Long-term prepaid expenses,BS_252,,,(Balance sheet) Long-term prepaid expenses,BS_264,BS_260
Deferred tax assets,BS_262,3. Deferred tax assets,BS_253,Deferred corporate income tax assets,BS_253,(Balance sheet) Deferred tax assets,BS_265,BS_260
"Long-term equipment, supplies, spare parts",BS_263,,,,,"(Balance sheet) Long-term equipment, supplies, spare parts",BS_266,BS_260
,,4. Contributions to the Clearing Support Fund,BS_254,,,(Balance sheet) (Securities) Contributions to the Clearing Support Fund,BS_267,BS_260
Other non-current assets,BS_268,5. Other long-term assets,BS_255,Other assets,BS_254,(Balance sheet) (Other) Other non-current assets ,BS_268,BS_260
Goodwill,BS_269,,BS_256,Including goodwill,BS_255,(Balance sheet) Goodwill,BS_269,BS_260
,,,BS_257,Provisions for risks on other on-balance-sheet assets,BS_259,(Balance sheet) (Bank) Provisions for risks on other on-balance-sheet assets,BS_269.1,BS_260
TOTAL ASSETS,BS_270,TOTAL ASSETS,BS_270,Total assets,BS_300,(Balance sheet) TOTAL ASSETS,BS_270,BS_270
C. LIABILITIES,BS_300,C. LIABILITIES,BS_300,Total liabilities,BS_400,(Balance sheet) C. LIABILITIES,BS_300,BS_300
,,,,Government and central bank debts,BS_310,(Balance sheet) (Bank) Government and central bank debts,BS_301,BS_301
,,,,Deposits and loans from other credit institutions,BS_320,(Balance sheet) (Bank) Deposits and loans from other credit institutions,BS_302,BS_302
,,,,Deposits from other credit institutions,BS_321,(Balance sheet) (Bank) Deposits from other credit institutions,BS_303,BS_302
,,,,Loans from other credit institutions,BS_322,(Balance sheet) (Bank) Loans from other credit institutions,BS_304,BS_302
,,,,Customer deposits,BS_330,(Balance sheet) (Bank) Customer deposits,BS_305,BS_305
,,,,Derivative financial instruments and other financial liabilities,BS_340,(Balance sheet) (Bank) Derivative financial instruments and other financial liabilities,BS_306,BS_306
,,,,"Funds, entrusted investments, loans to risk-bearing credit institutions",BS_350,"(Balance sheet) (Bank) Funds, entrusted investments, loans to risk-bearing credit institutions",BS_307,BS_307
,,,,Issuance of valuable papers,BS_360,(Balance sheet) (Bank) Issuance of valuable papers,BS_308,BS_308
I. Current liabilities,BS_310,I. Current Liabilities,BS_310,I. Current liabilities,BS_361,(Balance sheet) Current liabilities,BS_310,BS_310
,,1.1. Short-term borrowings,BS_312,,,(Balance sheet) (Securities) Short-term borrowings,BS_311,BS_311
,,1.2. Short-term financial lease liabilities,BS_313,,,(Balance sheet) (Securities) Short-term financial lease liabilities,BS_312,BS_312
,,2. Short-term financial borrowings,BS_314,,,(Balance sheet) (Securities) Short-term financial borrowings,BS_313,BS_313
,,3. Convertible bonds - short term,BS_315,,,(Balance sheet) (Securities) Convertible bonds - short term,BS_314,BS_314
,,4. Short-term issued bonds,BS_316,,,(Balance sheet) (Securities) Short-term issued bonds,BS_315,BS_315
,,5. Borrowings from the Clearing Support Fund,BS_317,,,(Balance sheet) (Securities) Borrowings from the Clearing Support Fund,BS_316,BS_316
,,6. Payables from securities transactions,BS_318,,,(Balance sheet) (Securities) Payables from securities transactions,BS_317,BS_317
,,7. Payables from errors in financial asset transactions,BS_319,,,(Balance sheet) (Securities) Payables from errors in financial asset transactions,BS_318,BS_318
Trade payables (short-term),BS_311,8. Payables to short-term suppliers,BS_320,,,(Balance sheet) Trade payables (short-term),BS_319,BS_319
Advances from customers (short-term),BS_312,9. Advances from customers,BS_321,,,(Balance sheet) Advances from customers (short-term),BS_320,BS_320
Taxes and amounts payable to the State,BS_313,10. Taxes and amounts payable to the government,BS_322,,,(Balance sheet) Taxes and amounts payable to the State,BS_321,BS_321
Payables to employees,BS_314,11. Payables to employees,BS_323,,,(Balance sheet) Payables to employees,BS_322,BS_322
,,12. Employee welfare fund contributions,BS_324,,,(Balance sheet) (Securities) Employee welfare fund contributions,BS_331.1,BS_331.1
Accrued expenses (short-term),BS_315,13. Short-term accrued expenses,BS_325,,,(Balance sheet) Accrued expenses (short-term),BS_323,BS_323
Intra-group payables (short-term),BS_316,14. Internal payables - short term,BS_326,,,(Balance sheet) Intra-group payables (short-term),BS_324,BS_324
Payables under construction contract progress (short-term),BS_317,,,,,(Balance sheet) Payables under construction contract progress (short-term),BS_325,BS_325
Deferred revenue (short-term),BS_318,15. Short-term deferred revenue,BS_327,,,(Balance sheet) Deferred revenue (short-term),BS_326,BS_326
,,16. Short-term deposits and collateral received,BS_328,,,(Balance sheet) (Securities) Short-term deposits and collateral received,BS_327,BS_327
Other short-term payables,BS_319,17. Other short-term payables and liabilities,BS_329,,,(Balance sheet) Other short-term payables,BS_328,BS_328
Short-term borrowings and finance leases,BS_320,1. Short-term borrowings and financial lease liabilities,BS_311,,,(Balance sheet) Short-term borrowings and finance leases,BS_329,BS_329
Short-term provisions,BS_321,18. Short-term provisions,BS_330,,,(Balance sheet) Short-term provisions,BS_330,BS_330
Bonus and welfare funds,BS_322,19. Employee welfare fund,BS_331,,,(Balance sheet) Bonus and welfare funds,BS_331,BS_331
Price stabilization fund,BS_323,,,,,(Balance sheet) Price stabilization fund,BS_332,BS_332
Government bond repurchase transactions,BS_324,,,,,(Balance sheet) Government bond repurchase transactions,BS_333,BS_333
II. Non-current liabilities,BS_330,II. Long-term Liabilities,BS_340,,,(Balance sheet) Non-current liabilities,BS_340,BS_340
,,4. Long-term issued bonds,BS_346,,,(Balance sheet) (Securities) Long-term issued bonds,BS_341,BS_341
Long-term trade payables,BS_331,5. Long-term payables to suppliers,BS_347,,,(Balance sheet) Long-term trade payables,BS_342,BS_342
Advances from customers (long-term),BS_332,6. Advances from long-term customers,BS_348,,,(Balance sheet) Advances from customers (long-term),BS_343,BS_343
Accrued expenses (long-term),BS_333,7. Long-term accrued expenses,BS_349,,,(Balance sheet) Accrued expenses (long-term),BS_344,BS_344
Long-term intra-group business capital payables,BS_334,,,,,(Balance sheet) Long-term intra-group business capital payables,BS_345,BS_345
Long-term intra-group payables,BS_335,8. Internal payables - long term,BS_350,,,(Balance sheet) Long-term intra-group payables,BS_346,BS_346
Deferred revenue (long-term),BS_336,9. Long-term deferred revenue,BS_351,,,(Balance sheet) Deferred revenue (long-term),BS_347,BS_347
,,10. Long-term deposits and collateral received,BS_352,,,(Balance sheet) (Securities) Long-term deposits and collateral received,BS_348,BS_348
Other long-term payables,BS_337,11. Other long-term payables and liabilities,BS_353,Other liabilities,BS_370,(Balance sheet) Other long-term payables,BS_349,BS_349
Long-term borrowings and finance leases,BS_338,,BS_341,,,(Balance sheet) Long-term borrowings and finance leases,BS_350,BS_350
Convertible bonds,BS_339,,,,,(Balance sheet) Convertible bonds,BS_351,BS_351
Preferred shares,BS_340,,,,,(Balance sheet) Preferred shares,BS_352,BS_352
Deferred income tax liabilities,BS_341,14. Deferred tax liabilities,BS_356,Deferred corporate income tax liabilities,BS_372,(Balance sheet) Deferred income tax liabilities,BS_353,BS_353
Long-term provisions,BS_342,12. Long-term provisions,BS_354,,,(Balance sheet) Long-term provisions,BS_354,BS_354
,,13. Provision for compensation to investors,BS_355,,,(Balance sheet) (Securities) Provision for compensation to investors,BS_355,BS_355
,,,,Interest and fees payable,BS_371,(Balance sheet) (Bank) Interest and fees payable,BS_356,BS_356
,,,,Payables and other liabilities,BS_373,(Balance sheet) (Bank) Payables and other liabilities,BS_357,BS_357
Science and technology development fund,BS_343,15. Science and technology development fund,BS_357,,,(Balance sheet) Science and technology development fund,BS_358,BS_358
,,,,Other risk provisions (contingent liabilities and off-balance-sheet commitments),BS_379,(Balance sheet) (Bank) Other risk provisions (contingent liabilities and off-balance-sheet commitments),BS_359,BS_359
EQUITY,BS_400,D. OWNER'S EQUITY,BS_400,Shareholders’ equity,BS_500,(Balance sheet) D. EQUITY,BS_400,BS_400
Owner's equity,BS_410,I. Owner's Equity,BS_410,Credit institution's capital,BS_410,(Balance sheet) I. Owner's Equity,BS_410,BS_410
,,1. Owner's capital,BS_411,,,(Balance sheet) (Securities) Owner's capital,BS_411,BS_410
Contributed capital,BS_411,1.1. Contributed capital from owners,BS_411.1,Charter capital,BS_411,(Balance sheet) Contributed capital,BS_412,BS_410
Common shares with voting rights,BS_411a,,BS_411.1a,Capital construction investment,BS_412,(Balance sheet) Common shares with voting rights,BS_413,BS_410
Preferred shares,BS_411b,,BS_411.1b,,,(Balance sheet) Preferred shares,BS_414,BS_410
Share premium,BS_412,1.2. Share premium,BS_411.2,Share premium,BS_413,(Balance sheet) Share premium,BS_415,BS_410
Convertible bond options,BS_413,1.3. Convertible bond options,BS_411.3,,,(Balance sheet) Convertible bond options,BS_416,BS_410
Other owner’s capital,BS_414,1.4. Other owner's capital,BS_411.4,Other capital,BS_416,(Balance sheet) Other owner’s capital,BS_417,BS_410
Treasury shares,BS_415,1.5. Treasury shares,BS_411.5,Treasury shares,BS_414,(Balance sheet) Treasury shares,BS_418,BS_410
,,,,Preferred shares,BS_415,(Balance sheet) (Bank) Preferred shares,BS_419,BS_410
,,,,Credit institution’s reserves,BS_420,(Balance sheet) (Bank) Credit institution’s reserves,BS_420,BS_410
Revaluation differences in assets,BS_416,2. Revaluation differences on assets at fair value,BS_412,Asset revaluation difference,BS_440,(Balance sheet) Revaluation differences in assets,BS_421,BS_421
Foreign exchange differences,BS_417,3. Foreign exchange differences,BS_413,Foreign exchange rate difference,BS_430,(Balance sheet) Foreign exchange differences,BS_422,BS_422
Development investment fund,BS_418,,,,,(Balance sheet) Development investment fund,BS_423,BS_423
Enterprise arrangement assistance fund,BS_419,,,,,(Balance sheet) Enterprise arrangement assistance fund,BS_424,BS_424
Other funds under owner’s equity,BS_420,6. Other reserves in owner's equity,BS_416,,,(Balance sheet) Other funds under owner’s equity,BS_425,BS_425
,,4. Statutory reserves,BS_414,,,(Balance sheet) (Securities) Statutory reserves,BS_426,BS_426
,,5. Financial reserves and professional risk reserves,BS_415,,,(Balance sheet) (Securities) Financial reserves and professional risk reserves,BS_427,BS_427
Retained earnings after tax,BS_421,7. Undistributed profits,BS_417,Undistributed profit/Accumulated loss,BS_450,(Balance sheet) Retained earnings after tax,BS_430,BS_430
,,7.1. Realized profits,BS_417.1,,,(Balance sheet) (Securities) Realized profits,BS_431,BS_430
,,7.2. Unrealized profits,BS_417.2,,,(Balance sheet) (Securities) Unrealized profits,BS_432,BS_430
Accumulated retained earnings up to the end of the previous period,BS_421a,,,,,(Balance sheet) Accumulated retained earnings up to the end of the previous period,BS_433,BS_433
Retained earnings for this period,BS_421b,,,,,(Balance sheet) Retained earnings for this period,BS_434,BS_434
Capital for construction investment,BS_422,,,,,(Balance sheet) Capital for construction investment,BS_435,BS_435
Non-controlling interests,BS_429,8. Non-controlling interests,BS_418,Minority interests,BS_700,(Balance sheet) Non-controlling interests,BS_436,BS_436
Funds and other reserves,BS_430,,,,,(Balance sheet) Funds and other reserves,BS_437,BS_437
Funds,BS_431,,,,,(Balance sheet) Funds,BS_438,BS_438
Funds formed from fixed assets,BS_432,,,,,(Balance sheet) Funds formed from fixed assets,BS_439,BS_439
TOTAL LIABILITIES AND EQUITY,BS_440,TOTAL LIABILITIES AND OWNER'S EQUITY,BS_440,Total liabilities and shareholders’ equity,BS_800,(Balance sheet) TOTAL LIABILITIES AND EQUITY,BS_440,BS_440
,,,,Contingent liabilities,BS_910,(Balance sheet) (Bank) Contingent liabilities,BS_910,BS_910
,,,,Loan guarantees,BS_911,(Balance sheet) (Bank) Loan guarantees,BS_911,BS_911
,,,,Commitments under L/C operations,BS_912,(Balance sheet) (Bank) Commitments under L/C operations,BS_912,BS_912
,,,,Other guarantees,BS_913,(Balance sheet) (Bank) Other guarantees,BS_913,BS_913
,,,,Commitments issued,BS_920,(Balance sheet) (Bank) Commitments issued,BS_920,BS_920
,,,,Funding commitments to customers,BS_921,(Balance sheet) (Bank) Funding commitments to customers,BS_921,BS_921
,,,,Other commitments,BS_922,(Balance sheet) (Bank) Other commitments,BS_922,BS_922
1. Doanh thu bán hàng và cung cấp dịch vụ,IS_001,x,,,,(Income statement) Revenue from sales and services rendered,IS_001,IS_001
2. Các khoản giảm trừ doanh thu,IS_002,x,,,,(Income statement) Deductions from revenue,IS_002,IS_002
,,1.1. Lãi từ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),IS_001,,,(Income statement) (Securities) Interest from financial assets measured at fair value through profit or loss (FVTPL),IS_003,IS_020
,,a. Lãi bán các tài sản tài chính,IS_001.1,,,(Income statement) (Securities) Gain on sale of financial assets (FVTPL),IS_004,IS_020
,,b. Chênh lệch tăng đánh giá lại các TSTC thông qua lãi/lỗ,IS_001.2,,,(Income statement) (Securities) Revaluation gain on financial assets measured at fair value through profit or loss (FVTPL),IS_005,IS_020
,,"c. Cổ tức, tiền lãi phát sinh từ tài sản tài chính PVTPL",IS_001.3,,,"(Income statement) (Securities) Dividends, interest income from financial assets (FVTPL)",IS_006,IS_020
,,d. Chênh lệch giảm do đánh giá lại phải trả chứng quyền đang lưu hành,IS_001.4,,,(Income statement) (Securities) Revaluation loss on outstanding warrants payable (FVTPL),IS_007,IS_020
,,1.2. Lãi từ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),IS_002,,,(Income statement) (Securities) Interest from held-to-maturity investments (HTM),IS_008,IS_020
,,1.3. Lãi từ các khoản cho vay và phải thu,IS_003,,,(Income statement) (Securities) Interest from loans and receivables,IS_009,IS_020
,,1.4. Lãi từ các tài sản tài chính sẵn sàng để bán (AFS),IS_004,,,(Income statement) (Securities) Interest from available-for-sale (AFS) financial assets,IS_010,IS_020
,,1.6. Doanh thu môi giới chứng khoán,IS_006,,,(Income statement) (Securities) Brokerage commission revenue,IS_011,IS_020
,,"1.7. Doanh thu bảo lãnh, đại lý phát hành chứng khoán",IS_007,,,(Income statement) (Securities) Underwriting and issuance agent revenue,IS_012,IS_020
,,1.8. Doanh thu nghiệp vụ tư vấn đầu tư chứng khoán,IS_008,,,(Income statement) (Securities) Investment advisory revenue,IS_013,IS_020
,,1.10. Doanh thu lưu ký chứng khoán,IS_009,,,(Income statement) (Securities) Custody revenue,IS_014,IS_020
,,Doanh thu hoạt động tư vấn tài chính,IS_010,,,(Income statement) (Securities) Revenue from financial advisory services,IS_015,IS_020
,,1.11. Thu nhập hoạt động khác,IS_011,,,(Income statement) (Securities) Other operating income,IS_016,IS_020
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),IS_010,Cộng doanh thu hoạt động,IS_020,1.Thu nhập lãi và các khoản thu nhập tương tự,IS_001,(Income statement) Net Revenue,IS_020,IS_020
,,2.1. Lỗ các tài sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),IS_021,,,(Income statement) (Securities) Loss from financial assets measured at fair value through profit or loss (FVTPL),IS_021,IS_036
,,a. Lỗ bán các tài sản tài chính,IS_021.1,,,(Income statement) (Securities) Loss on sale of financial assets,IS_022,IS_036
,,b. Chênh lệch giảm đánh giá lại các TSTC thông qua lãi/lỗ,IS_021.2,,,(Income statement) (Securities) Revaluation loss on financial assets measured at fair value through profit or loss (FVTPL),IS_023,IS_036
,,c. c.Chi phí giao dịch mua các tài sản tài chính FVTPL,IS_021.3,,,(Income statement) (Securities) Transaction costs for purchasing financial assets (FVTPL),IS_024,IS_036
,,d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành,IS_021.4,,,(Income statement) (Securities) Revaluation gain on outstanding warrants payable,IS_025,IS_036
,,2.2. Lỗ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),IS_022,,,(Income statement) (Securities) Loss from held-to-maturity investments (HTM),IS_026,IS_036
,,2.4. Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS),IS_023,,,(Income statement) (Securities) Loss on sale of available-for-sale (AFS) financial assets,IS_027,IS_036
,,"Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi, lỗ suy giảm tài sản tài chính và chi phí đi vay của các khoản cho vay",IS_024,,,"(Income statement) (Securities) Provision expenses for financial assets, bad debt write-offs, financial asset impairment, and borrowing costs",IS_028,IS_036
,,2.6. Chi phí hoạt động tự doanh,IS_026,,,(Income statement) (Securities) Proprietary trading expenses,IS_029,IS_036
,,2.7. Chi phí môi giới chứng khoán,IS_027,,,(Income statement) (Securities) Brokerage commission expenses,IS_030.1,IS_036
,,"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng khoán",IS_028,,,(Income statement) (Securities) Underwriting and issuance agent expenses,IS_031,IS_036
