category_code,en_caption,vi_caption
BS_340,II. Long-term Liabilities,II. Nợ phải trả dài hạn
,,1. Vay và nợ thuê tài sản tài chính dài hạn
,,1.1. Vay dài hạn
,,1.2 Nợ thuê tài sản chính dài hạn
,,2. Vay tài sản tài chính dài hạn
,,3. Trái phiếu chuyển đổi dài hạn
BS_346,4. Long-term issued bonds,4. Trái phiếu phát hành dài hạn
BS_347,5. Long-term payables to suppliers,5. Phải trả người bán dài hạn
BS_348,6. Advances from long-term customers,6. Người mua trả tiền trước dài hạn
BS_349,7. Long-term accrued expenses,7. Chi phí phải trả dài hạn
BS_350,8. Internal payables - long term,8. Phải trả nội bộ dài hạn
BS_351,9. Long-term deferred revenue,9. Doanh thu chưa thực hiện dài hạn
BS_352,10. Long-term deposits and collateral received,"10. Nhận ký quỹ, ký cược dài hạn"
BS_353,11. Other long-term payables and liabilities,"11. Các khoản phải trả, phải nộp khác dài hạn"
BS_354,12. Long-term provisions,12. Dự phòng phải trả dài hạn
BS_355,13. Provision for compensation to investors,13. Dự phòng bồi thường thiệt hại cho nhà đầu tư
BS_356,14. Deferred tax liabilities,14. Thuế thu nhập hoãn lại phải trả
BS_357,15. Science and technology development fund,15. Quỹ phát triển khoa học và công nghệ
BS_400,D. OWNER'S EQUITY,D. VỐN CHỦ SỞ HỮU
BS_410,I. Owner's Equity,I. Vốn chủ sở hữu
BS_411,1. Owner's capital,1. Vốn đầu tư của chủ sở hữu
BS_411.1,1.1. Contributed capital from owners,1.1. Vốn góp của chủ sở hữu
,b. Preferred shares,b. Cổ phiếu ưu đãi
BS_411.2,1.2. Share premium,1.2. Thặng dư vốn cổ phần
BS_411.3,1.3. Convertible bond options,1.3. Quyền chọn chuyển đổi trái phiếu
BS_411.4,1.4. Other owner's capital,1.4. Vốn khác của chủ sở hữu
BS_411.5,1.5. Treasury shares,1.5. Cổ phiếu quỹ
BS_412,2. Revaluation differences on assets at fair value,2. Chênh lệch đánh giá tài sản theo giá trị hợp lý
BS_413,3. Foreign exchange differences,3. Chênh lệch tỷ giá hối đoái
BS_414,4. Statutory reserves,4. Quỹ dự trữ điều lệ
BS_415,5. Financial reserves and professional risk reserves,5. Quỹ dự phòng tài chính và rủi ro nghề nghiệp
BS_416,6. Other reserves in owner's equity,6. Các Quỹ khác thuộc vốn chủ sở hữu
BS_417,7. Undistributed profits,7. Lợi nhuận chưa phân phối
BS_417.1,7.1. Realized profits,7.1. Lợi nhuận đã thực hiện
BS_417.2,7.2. Unrealized profits,7.2. Lợi nhuận chưa thực hiện
BS_418,8. Non-controlling interests,8. Lợi ích của cổ đông không nắm quyền kiểm soát
,,II. Nguồn kinh phí và quỹ khác
BS_440,TOTAL LIABILITIES AND OWNER'S EQUITY,TỔNG CỘNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU
,,LỢI NHUẬN ĐÃ PHÂN PHỐI CHO NHÀ ĐẦU TƯ
,,a. Cổ phiếu phổ thông
,,1. Lợi nhuận đã phân phối cho Nhà đầu tư trong năm
,,8. Thuế giá trị gia tăng được khấu trừ
