vi_caption,category_code,en_caption,report_type
2. Chi phí xây dựng cơ bản dở dang,BS_242,Long-term construction in progress,balance_sheet
V. Đầu tư tài chính dài hạn,BS_250,V. Long-term financial investments,balance_sheet
1. Đầu tư vào công ty con,BS_251,Investment in subsidiaries,balance_sheet
"2. Đầu tư vào công ty liên kết, liên doanh",BS_252,Investment in associates and joint ventures,balance_sheet
3. Đầu tư góp vốn vào đơn vị khác,BS_253,Investment in other entities,balance_sheet
4. Dự phòng đầu tư tài chính dài hạn,BS_254,Provision for long-term financial investments,balance_sheet
5. Đầu tư nắm giữ đến ngày đáo hạn,BS_255,Held-to-maturity investments,balance_sheet
VI. Tài sản dài hạn khác,BS_260,VI. Other non-current assets,balance_sheet
1. Chi phí trả trước dài hạn,BS_261,Long-term prepaid expenses,balance_sheet
2. Tài sản thuế thu nhập hoãn lại,BS_262,Deferred tax assets,balance_sheet
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",BS_263,"Long-term equipment, supplies, spare parts",balance_sheet
4. Tài sản dài hạn khác,BS_268,Other non-current assets,balance_sheet
5. Lợi thế thương mại,BS_269,Goodwill,balance_sheet
TỔNG CỘNG TÀI SẢN,BS_270,TOTAL ASSETS,balance_sheet
C. NỢ PHẢI TRẢ,BS_300,C. LIABILITIES,balance_sheet
I. Nợ ngắn hạn,BS_310,I. Current liabilities,balance_sheet
1. Phải trả người bán ngắn hạn,BS_311,Trade payables (short-term),balance_sheet
2. Người mua trả tiền trước ngắn hạn,BS_312,Advances from customers (short-term),balance_sheet
3. Thuế và các khoản phải nộp nhà nước,BS_313,Taxes and amounts payable to the State,balance_sheet
4. Phải trả người lao động,BS_314,Payables to employees,balance_sheet
5. Chi phí phải trả ngắn hạn,BS_315,Accrued expenses (short-term),balance_sheet
6. Phải trả nội bộ ngắn hạn,BS_316,Intra-group payables (short-term),balance_sheet
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,BS_317,Payables under construction contract progress (short-term),balance_sheet
8. Doanh thu chưa thực hiện ngắn hạn,BS_318,Deferred revenue (short-term),balance_sheet
9. Phải trả ngắn hạn khác,BS_319,Other short-term payables,balance_sheet
10. Vay và nợ thuê tài chính ngắn hạn,BS_320,Short-term borrowings and finance leases,balance_sheet
11. Dự phòng phải trả ngắn hạn,BS_321,Short-term provisions,balance_sheet
12. Quỹ khen thưởng phúc lợi,BS_322,Bonus and welfare funds,balance_sheet
13. Quỹ bình ổn giá,BS_323,Price stabilization fund,balance_sheet
14. Giao dịch mua bán lại trái phiếu Chính phủ,BS_324,Government bond repurchase transactions,balance_sheet
II. Nợ dài hạn,BS_330,II. Non-current liabilities,balance_sheet
1. Phải trả người bán dài hạn,BS_331,Long-term trade payables,balance_sheet
2. Người mua trả tiền trước dài hạn,BS_332,Advances from customers (long-term),balance_sheet
3. Chi phí phải trả dài hạn,BS_333,Accrued expenses (long-term),balance_sheet
4. Phải trả nội bộ về vốn kinh doanh,BS_334,Long-term intra-group business capital payables,balance_sheet
5. Phải trả nội bộ dài hạn,BS_335,Long-term intra-group payables,balance_sheet
6. Doanh thu chưa thực hiện dài hạn,BS_336,Deferred revenue (long-term),balance_sheet
7. Phải trả dài hạn khác,BS_337,Other long-term payables,balance_sheet
8. Vay và nợ thuê tài chính dài hạn,BS_338,Long-term borrowings and finance leases,balance_sheet
9. Trái phiếu chuyển đổi,BS_339,Convertible bonds,balance_sheet
10. Cổ phiếu ưu đãi,BS_340,Preferred shares,balance_sheet
11. Thuế thu nhập hoãn lại phải trả,BS_341,Deferred income tax liabilities,balance_sheet
12. Dự phòng phải trả dài hạn,BS_342,Long-term provisions,balance_sheet
13. Quỹ phát triển khoa học và công nghệ,BS_343,Science and technology development fund,balance_sheet
D.VỐN CHỦ SỞ HỮU,BS_400,EQUITY,balance_sheet
I. Vốn chủ sở hữu,BS_410,Owner's equity,balance_sheet
1. Vốn góp của chủ sở hữu,BS_411,Contributed capital,balance_sheet
- Cổ phiếu phổ thông có quyền biểu quyết,BS_411a,Common shares with voting rights,balance_sheet
- Cổ phiếu ưu đãi,BS_411b,Preferred shares,balance_sheet
2. Thặng dư vốn cổ phần,BS_412,Share premium,balance_sheet
3. Quyền chọn chuyển đổi trái phiếu,BS_413,Convertible bond options,balance_sheet
4. Vốn khác của chủ sở hữu,BS_414,Other owner’s capital,balance_sheet
5. Cổ phiếu quỹ,BS_415,Treasury shares,balance_sheet
6. Chênh lệch đánh giá lại tài sản,BS_416,Revaluation differences in assets,balance_sheet
7. Chênh lệch tỷ giá hối đoái,BS_417,Foreign exchange differences,balance_sheet
8. Quỹ đầu tư phát triển,BS_418,Development investment fund,balance_sheet
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,BS_419,Enterprise arrangement assistance fund,balance_sheet
10. Quỹ khác thuộc vốn chủ sở hữu,BS_420,Other funds under owner’s equity,balance_sheet
11. Lợi nhuận sau thuế chưa phân phối,BS_421,Retained earnings after tax,balance_sheet
- LNST chưa phân phối lũy kế đến cuối kỳ trước,BS_421a,Accumulated retained earnings up to the end of the previous period,balance_sheet
- LNST chưa phân phối kỳ này,BS_421b,Retained earnings for this period,balance_sheet
12. Nguồn vốn đầu tư XDCB,BS_422,Capital for construction investment,balance_sheet
13. Lợi ích cổ đông không kiểm soát,BS_429,Non-controlling interests,balance_sheet
II. Nguồn kinh phí và quỹ khác,BS_430,Funds and other reserves,balance_sheet
1. Nguồn kinh phí,BS_431,Funds,balance_sheet
2. Nguồn kinh phí đã hình thành TSCĐ,BS_432,Funds formed from fixed assets,balance_sheet
TỔNG CỘNG NGUỒN VỐN,BS_440,TOTAL LIABILITIES AND EQUITY,balance_sheet
