vi_caption,category_code,en_caption
- Trong đó lợi thế thương mại,BS_255,Including goodwill
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,BS_259,Provisions for risks on other on-balance-sheet assets
TỔNG TÀI SẢN CÓ,BS_300,Total assets
I.Các khoản nợ chính phủ và Ngân hàng Nhà nước,BS_310,Government and central bank debts
II.Tiền gửi và vay các tổ chức tín dụng khác,BS_320,Deposits and loans from other credit institutions
1.Tiền gửi của các tổ chức tín dụng khác,BS_321,Deposits from other credit institutions
2.Vay các tổ chức tín dụng khác,BS_322,Loans from other credit institutions
III.Tiền gửi của khách hàng,BS_330,Customer deposits
IV.Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,BS_340,Derivative financial instruments and other financial liabilities
"V. Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",BS_350,"Funds, entrusted investments, loans to risk-bearing credit institutions"
VI.Phát hành giấy tờ có giá,BS_360,Issuance of valuable papers
VII.Các khoản nợ khác,BS_370,Other liabilities
"1.Các khoản lãi, phí phải trả",BS_371,Interest and fees payable
2.Thuế thu nhập doanh nghiệp hoãn lại phải trả,BS_372,Deferred corporate income tax liabilities
3.Các khoản phải trả và công nợ khác,BS_373,Payables and other liabilities
4.Dự phòng rủi ro khác (công nợ tiềm ẩn và các cam kết ngoại bảng),BS_379,Other risk provisions (contingent liabilities and off-balance-sheet commitments)
TỔNG NỢ PHẢI TRẢ,BS_400,Total liabilities
1.Vốn của tổ chức tín dụng,BS_410,Credit institution's capital
a.Vốn điều lệ,BS_411,Charter capital
b.Vốn đầu tư XDCB,BS_412,Capital construction investment
c.Thặng dư vốn cổ phần,BS_413,Share premium
d.Cổ phiếu quỹ,BS_414,Treasury shares
e.Cổ phiếu ưu đãi,BS_415,Preferred shares
g.Vốn khác,BS_416,Other capital
2.Quỹ của Tổ chức tín dụng,BS_420,Credit institution’s reserves
3.Chênh lệch tỷ giá hối đoái,BS_430,Foreign exchange rate difference
4.Chênh lệch đánh giá lại tài sản,BS_440,Asset revaluation difference
5.Lợi nhuận để lại chưa phân phối/Lỗ lũy kế,BS_450,Undistributed profit/Accumulated loss
VIII.Vốn chủ sở hữu,BS_500,Shareholders’ equity
IX.Lợi ích của cổ đông thiểu số,BS_700,Minority interests
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,BS_800,Total liabilities and shareholders’ equity
I.Nghĩa vụ nợ tiềm ẩn,BS_910,Contingent liabilities
1.Bảo lãnh vay vốn,BS_911,Loan guarantees
2.Cam kết trong nghiệp vụ L/C,BS_912,Commitments under L/C operations
3.Bảo lãnh khác,BS_913,Other guarantees
II.Các cam kết đưa ra,BS_920,Commitments issued
1.Cam kết tài trợ cho khách hàng,BS_921,Funding commitments to customers
2.Cam kết khác,BS_922,Other commitments
